service_id,date,exception_type
11,20170428,1
11,20170505,1
11,20170512,1
11,20170519,1
12,20170323,1
12,20170327,1
12,20170328,1
12,20170329,1
12,20170330,1
12,20170403,1
12,20170404,1
12,20170405,1
12,20170406,1
12,20170410,1
12,20170411,1
12,20170412,1
12,20170413,1
12,20170417,1
12,20170418,1
12,20170419,1
12,20170420,1
12,20170424,1
12,20170425,1
12,20170426,1
12,20170427,1
12,20170501,1
12,20170502,1
12,20170503,1
12,20170504,1
12,20170508,1
12,20170509,1
12,20170510,1
12,20170511,1
12,20170515,1
12,20170516,1
12,20170517,1
12,20170518,1
13,20170323,1
13,20170324,1
13,20170328,1
13,20170329,1
13,20170330,1
13,20170331,1
13,20170404,1
13,20170405,1
13,20170406,1
13,20170407,1
13,20170411,1
13,20170412,1
13,20170413,1
13,20170414,1
13,20170418,1
13,20170419,1
13,20170420,1
13,20170421,1
13,20170425,1
13,20170426,1
13,20170427,1
13,20170428,1
13,20170502,1
13,20170503,1
13,20170504,1
13,20170505,1
13,20170509,1
13,20170510,1
13,20170511,1
13,20170512,1
13,20170516,1
13,20170517,1
13,20170518,1
13,20170519,1
14,20170327,1
14,20170403,1
14,20170410,1
14,20170417,1
14,20170424,1
14,20170501,1
14,20170508,1
14,20170515,1
15,20170324,1
15,20170331,1
15,20170407,1
15,20170414,1
15,20170415,1
15,20170421,1
15,20170428,1
15,20170429,1
15,20170505,1
15,20170506,1
15,20170512,1
15,20170513,1
15,20170519,1
16,20170325,1
16,20170401,1
16,20170408,1
16,20170422,1
17,20170415,1
17,20170416,1
17,20170429,1
17,20170430,1
17,20170506,1
17,20170507,1
17,20170513,1
17,20170514,1
17,20170520,1
18,20170326,1
18,20170402,1
18,20170409,1
18,20170415,1
18,20170416,1
18,20170423,1
18,20170429,1
18,20170430,1
18,20170506,1
18,20170507,1
18,20170513,1
18,20170514,1
18,20170520,1
19,20170326,1
19,20170402,1
19,20170409,1
19,20170423,1
20,20170326,1
20,20170402,1
20,20170409,1
20,20170415,1
20,20170416,1
20,20170423,1
20,20170429,1
20,20170430,1
20,20170506,1
20,20170507,1
20,20170513,1
20,20170514,1
21,20170324,1
21,20170325,1
21,20170326,1
21,20170331,1
21,20170401,1
21,20170402,1
21,20170407,1
21,20170408,1
21,20170409,1
21,20170414,1
21,20170415,1
21,20170416,1
21,20170421,1
21,20170422,1
21,20170423,1
21,20170428,1
21,20170429,1
21,20170430,1
21,20170505,1
21,20170506,1
21,20170507,1
21,20170512,1
21,20170513,1
21,20170514,1
21,20170519,1
22,20170324,1
22,20170331,1
22,20170407,1
22,20170410,1
22,20170414,1
22,20170421,1
22,20170428,1
22,20170505,1
22,20170512,1
22,20170519,1
23,20170323,1
23,20170327,1
23,20170328,1
23,20170329,1
23,20170330,1
23,20170403,1
23,20170404,1
23,20170405,1
23,20170406,1
23,20170411,1
23,20170412,1
23,20170413,1
23,20170417,1
23,20170418,1
23,20170419,1
23,20170420,1
23,20170424,1
23,20170425,1
23,20170426,1
23,20170427,1
23,20170501,1
23,20170502,1
23,20170503,1
23,20170504,1
23,20170508,1
23,20170509,1
23,20170510,1
23,20170511,1
23,20170515,1
23,20170516,1
23,20170517,1
23,20170518,1
24,20170323,1
24,20170324,1
24,20170327,1
24,20170328,1
24,20170329,1
24,20170330,1
24,20170331,1
24,20170403,1
24,20170404,1
24,20170405,1
24,20170406,1
24,20170407,1
24,20170410,1
24,20170411,1
24,20170412,1
24,20170413,1
24,20170414,1
24,20170417,1
24,20170418,1
24,20170419,1
24,20170420,1
24,20170421,1
24,20170424,1
24,20170425,1
24,20170426,1
24,20170427,1
24,20170428,1
24,20170501,1
24,20170502,1
24,20170503,1
24,20170504,1
24,20170505,1
24,20170508,1
24,20170509,1
24,20170510,1
24,20170511,1
24,20170512,1
24,20170515,1
24,20170516,1
24,20170517,1
24,20170518,1
24,20170519,1
